,Date,Location,Reduction_in_coverage,Running_total,Location_running_total
191,2035-07-01,Coverage_OUT_CA_PGE_BAY[Percent],64.0,-1515.0,-351.0
192,2035-08-01,Coverage_OUT_CA_PGE_BAY[Percent],55.0,-1423.0,-296.0
193,2035-09-01,Coverage_OUT_CA_PGE_BAY[Percent],40.0,-1338.0,-256.0
194,2035-10-01,Coverage_OUT_CA_PGE_BAY[Percent],62.0,-1255.0,-194.0
195,2035-11-01,Coverage_OUT_CA_PGE_BAY[Percent],46.0,-1463.0,-148.0
196,2035-12-01,Coverage_OUT_CA_PGE_BAY[Percent],23.0,-1491.0,-125.0
197,2036-05-01,Coverage_OUT_CA_PGE_BAY[Percent],44.0,-1356.0,-81.0
198,2036-06-01,Coverage_OUT_CA_PGE_BAY[Percent],55.0,-1098.0,-26.0
199,2036-07-01,Coverage_OUT_CA_PGE_BAY[Percent],42.0,-952.0,16.0
200,2036-08-01,Coverage_OUT_CA_PGE_BAY[Percent],44.0,-898.0,60.0
201,2036-09-01,Coverage_OUT_CA_PGE_BAY[Percent],11.0,-890.0,71.0
202,2036-10-01,Coverage_OUT_CA_PGE_BAY[Percent],33.0,-881.0,104.0
203,2036-11-01,Coverage_OUT_CA_PGE_BAY[Percent],17.0,-851.0,121.0
204,2036-12-01,Coverage_OUT_CA_PGE_BAY[Percent],32.0,-978.0,153.0
205,2037-01-01,Coverage_OUT_CA_PGE_BAY[Percent],23.0,-1063.0,176.0
206,2037-06-01,Coverage_OUT_CA_PGE_BAY[Percent],44.0,-832.0,220.0
207,2037-07-01,Coverage_OUT_CA_PGE_BAY[Percent],30.0,-468.0,250.0
208,2037-08-01,Coverage_OUT_CA_PGE_BAY[Percent],66.0,-281.0,316.0
209,2037-09-01,Coverage_OUT_CA_PGE_BAY[Percent],70.0,-49.0,386.0
210,2037-10-01,Coverage_OUT_CA_PGE_BAY[Percent],79.0,231.0,465.0
211,2037-11-01,Coverage_OUT_CA_PGE_BAY[Percent],47.0,514.0,512.0
212,2037-12-01,Coverage_OUT_CA_PGE_BAY[Percent],24.0,525.0,536.0
213,2038-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-27.0,745.0,509.0
214,2038-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-39.0,631.0,470.0
215,2038-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-34.0,496.0,436.0
216,2040-07-01,Coverage_OUT_CA_PGE_BAY[Percent],1.0,2186.0,437.0
217,2040-08-01,Coverage_OUT_CA_PGE_BAY[Percent],18.0,2235.0,455.0
218,2040-09-01,Coverage_OUT_CA_PGE_BAY[Percent],30.0,2298.0,485.0
219,2040-10-01,Coverage_OUT_CA_PGE_BAY[Percent],30.0,2569.0,515.0
220,2040-11-01,Coverage_OUT_CA_PGE_BAY[Percent],13.0,2704.0,528.0
221,2043-06-01,Coverage_OUT_CA_PGE_BAY[Percent],58.0,5385.0,586.0
222,2043-07-01,Coverage_OUT_CA_PGE_BAY[Percent],38.0,5663.0,624.0
223,2043-08-01,Coverage_OUT_CA_PGE_BAY[Percent],61.0,5824.0,685.0
224,2043-09-01,Coverage_OUT_CA_PGE_BAY[Percent],70.0,6020.0,755.0
225,2043-10-01,Coverage_OUT_CA_PGE_BAY[Percent],48.0,6371.0,803.0
226,2044-07-01,Coverage_OUT_CA_PGE_BAY[Percent],15.0,6369.0,818.0
227,2044-08-01,Coverage_OUT_CA_PGE_BAY[Percent],4.0,6401.0,822.0
